date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:05:29	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Oct%202022%2016:35:29%20GMT	https://goaelectricity.gov.in/robots.txt		(from )
22:05:29	118881/118881	---M--	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2016:35:29%20GMT	https://goaelectricity.gov.in/	C:/My%20Web%20Sites/seventeen/goaelectricity.gov.in/index.html	(from )
22:05:30	537/537	---M--	200	added ('OK')	image/x-icon	etag:%22a4a5478fc993d11:0%22	https://goaelectricity.gov.in/Images/favicon.ico	C:/My%20Web%20Sites/seventeen/goaelectricity.gov.in/Images/favicon.ico	(from https://goaelectricity.gov.in/)
22:05:31	18517/18517	---M--	200	added ('OK')	text/css	etag:%227b9ca47c1c2d41:0%22	https://goaelectricity.gov.in/css/style.css	C:/My%20Web%20Sites/seventeen/goaelectricity.gov.in/css/style.css	(from https://goaelectricity.gov.in/)
22:05:31	1529/1529	---M--	200	added ('OK')	text/css	etag:%2206a66cf9efdd01:0%22	https://goaelectricity.gov.in/css/reset.css	C:/My%20Web%20Sites/seventeen/goaelectricity.gov.in/css/reset.css	(from https://goaelectricity.gov.in/)
22:05:32	3936/3936	---M--	200	added ('OK')	text/css	etag:%22099048f1b9d01:0%22	https://goaelectricity.gov.in/css/jquery.bxslider.css	C:/My%20Web%20Sites/seventeen/goaelectricity.gov.in/css/jquery.bxslider.css	(from https://goaelectricity.gov.in/)
22:05:33	7507/7507	---M--	200	added ('OK')	text/css	etag:%2205473593275d11:0%22	https://goaelectricity.gov.in/CSS/FinalStyles.css	C:/My%20Web%20Sites/seventeen/goaelectricity.gov.in/CSS/FinalStyles.css	(from https://goaelectricity.gov.in/)
22:05:33	4014/4014	---M--	200	added ('OK')	text/css	etag:%22099048f1b9d01:0%22	https://goaelectricity.gov.in/CSS/lightbox.css	C:/My%20Web%20Sites/seventeen/goaelectricity.gov.in/CSS/lightbox.css	(from https://goaelectricity.gov.in/)
22:05:34	69852/69852	---M--	200	added ('OK')	image/gif	etag:%229e88e530acc9e24ab7b5577e8d0507e7%22	https://s3.ap-south-1.amazonaws.com/custpostimages/sb_images/chat-loading.gif	C:/My%20Web%20Sites/seventeen/s3.ap-south-1.amazonaws.com/custpostimages/sb_images/chat-loading.gif	(from https://goaelectricity.gov.in/)
22:05:35	34376/34376	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e5c-8648%22	https://cdnjs.cloudflare.com/ajax/libs/fingerprintjs2/1.5.1/fingerprint2.min.js	C:/My%20Web%20Sites/seventeen/cdnjs.cloudflare.com/ajax/libs/fingerprintjs2/1.5.1/fingerprint2.min.js	(from https://goaelectricity.gov.in/)
